hour,weather,traffic_density,historical_crash_proximity,risk_score
16,1,0.149,0.782,52.8
16,0,0.772,0.58,49.3
11,1,0.751,0.896,77.3
13,0,0.843,0.147,42.1
20,0,0.106,0.45,19.5
5,1,0.198,0.597,57.1
2,0,0.833,0.873,70.3
8,1,0.721,0.308,65.7
4,0,0.806,0.001,47.7
23,0,0.99,0.974,71.5
16,1,0.864,0.026,68.6
13,0,0.52,0.152,28.7
20,0,0.311,0.422,24.3
2,0,0.57,0.496,44.5
0,1,0.639,0.834,81.7
19,0,0.335,0.448,23.9
20,0,0.771,0.547,47.8
22,0,0.093,0.2,25.0
0,1,0.779,0.569,81.4
2,1,0.032,0.348,49.0
17,1,0.498,0.099,55.6
9,0,0.861,0.946,57.9
21,0,0.086,0.082,9.8
2,0,0.518,0.678,49.3
7,0,0.159,0.908,28.2
13,0,0.895,0.179,43.3
23,1,0.832,0.237,75.7
17,1,0.934,0.427,77.2
14,0,0.875,0.295,45.7
21,0,0.737,0.759,51.4
22,1,0.185,0.338,57.2
1,0,0.303,0.986,43.7
9,0,0.497,0.859,39.5
1,0,0.589,0.895,58.5
16,0,0.782,0.064,36.8
7,1,0.227,0.176,42.8
0,0,0.128,0.169,23.8
8,0,0.483,0.672,34.9
10,0,0.158,0.012,13.1
21,1,0.694,0.806,74.6
15,0,0.576,0.547,35.9
6,0,0.741,0.566,45.5
9,1,0.063,0.537,43.0
22,1,0.965,0.535,91.5
2,1,0.0,0.198,47.5
17,1,0.325,0.283,48.7
23,0,0.68,0.488,46.9
12,0,0.045,0.678,22.5
6,0,0.083,0.272,20.4
3,0,0.077,0.806,36.3
12,1,0.582,0.811,68.7
19,1,0.896,0.274,72.5
0,1,0.555,0.56,75.8
7,0,0.604,0.349,36.5
13,1,0.346,0.191,51.6
15,1,0.019,0.806,43.5
13,0,0.022,0.991,24.5
11,1,0.888,0.566,78.2
18,0,0.103,0.914,29.5
22,0,1.0,0.642,66.2
14,0,0.164,0.566,21.5
1,0,0.675,0.48,49.6
1,0,0.949,0.236,55.4
22,0,0.362,0.084,32.7
21,1,0.734,0.442,68.1
18,0,0.351,0.561,34.2
21,1,0.305,0.509,49.1
21,0,0.202,0.696,26.5
16,0,0.821,0.192,43.9
19,0,0.257,0.354,23.4
9,0,0.283,0.416,21.3
5,0,0.999,0.187,62.1
14,0,0.327,0.906,36.5
21,0,0.423,0.682,41.3
10,0,0.99,0.092,46.0
4,1,0.369,0.713,72.5
0,0,0.366,0.548,39.5
7,0,0.828,0.524,47.9
20,0,0.312,0.99,38.8
11,0,0.234,0.618,21.6
11,0,0.423,0.897,33.8
4,1,0.701,0.914,84.3
6,1,0.043,0.101,29.9
3,0,0.374,0.008,23.4
5,0,0.346,0.435,39.8
12,0,0.245,0.769,27.8
19,1,0.654,0.824,71.6
14,0,0.29,0.787,32.8
2,0,0.607,0.447,49.7
22,1,0.504,0.75,76.0
7,1,0.217,0.719,53.7
19,1,0.267,0.314,48.3
15,1,0.171,0.169,38.7
12,1,0.057,0.621,42.6
17,0,0.619,0.677,36.4
9,0,0.673,0.568,45.2
18,1,0.166,0.213,38.8
16,0,0.615,0.277,41.1
23,1,0.982,0.708,95.7
18,0,0.074,0.963,30.1
22,0,0.49,0.945,55.6
4,0,0.733,0.52,56.3
20,0,0.046,0.887,26.0
22,0,0.778,0.029,48.4
8,1,0.98,0.861,86.9
11,0,0.088,0.476,16.2
20,1,0.822,0.782,75.0
0,0,0.379,0.006,31.5
0,0,0.144,0.869,42.0
14,0,0.493,0.595,36.3
1,0,0.072,0.24,23.1
21,1,0.522,0.347,53.9
15,1,0.019,0.201,33.4
7,1,0.729,0.424,63.9
12,1,0.488,0.33,52.6
20,0,0.459,0.535,34.3
0,1,0.196,0.815,64.0
15,1,0.361,0.982,66.5
6,1,0.182,0.251,44.6
4,0,0.735,0.107,43.9
21,1,0.199,0.396,40.1
22,0,0.617,0.144,39.7
2,1,0.28,0.834,65.7
11,0,0.657,0.501,43.0
15,0,0.54,0.62,40.9
18,0,0.423,0.151,24.8
4,0,0.673,0.75,59.1
21,0,0.416,0.974,48.8
13,1,0.821,0.482,72.1
4,0,0.73,0.962,62.7
14,0,0.541,0.035,24.8
16,0,0.877,0.036,41.8
13,0,0.829,0.96,60.8
19,0,0.532,0.7,38.8
4,0,0.068,0.189,20.3
11,0,0.566,0.364,33.4
15,0,0.355,0.508,25.9
15,0,0.54,0.703,41.1
20,0,0.647,0.842,48.2
6,0,0.645,0.083,32.3
3,1,0.674,0.657,85.6
0,0,0.679,0.477,52.9
4,0,0.109,0.598,28.0
22,0,0.192,0.509,34.7
9,0,0.631,0.451,38.2
21,0,0.408,0.206,24.5
4,0,0.763,0.472,54.4
3,0,0.125,0.19,22.9
1,0,0.192,0.045,24.4
19,0,0.558,0.374,41.2
9,0,0.501,0.025,24.4
18,1,0.266,0.563,52.2
0,0,0.408,0.072,33.5
23,0,0.035,0.438,23.6
4,1,0.037,0.98,59.9
12,1,0.095,0.01,37.0
3,0,0.577,0.367,43.9
15,1,0.864,0.673,75.3
23,0,0.26,0.159,33.9
15,0,0.034,0.561,14.0
22,0,0.709,0.258,51.2
1,0,0.855,0.223,53.1
16,0,0.138,0.895,24.8
19,0,0.386,0.203,23.4
23,0,0.159,0.377,28.2
11,0,0.106,0.17,7.8
17,0,0.648,0.284,37.9
2,0,0.968,0.293,60.5
0,0,0.678,0.327,47.6
0,0,0.985,0.641,68.6
18,1,0.434,0.743,62.8
10,0,0.898,0.511,55.0
4,0,0.205,0.61,32.2
11,1,0.118,0.813,50.1
2,0,0.703,1.0,66.1
0,1,0.371,0.457,65.6
0,0,0.318,0.936,39.5
7,0,0.671,0.49,36.7
9,0,0.333,0.782,34.0
10,0,0.573,0.573,44.3
11,0,0.299,0.884,33.4
12,1,0.784,0.449,72.3
11,1,0.312,0.696,56.7
13,0,0.535,0.466,37.5
1,1,0.023,0.857,61.3
18,0,0.792,0.994,59.4
17,0,0.62,0.243,37.4
2,0,0.192,0.474,30.3
22,1,0.215,0.081,49.8
16,0,0.262,0.141,19.9
7,0,0.577,0.929,48.1
9,1,0.548,0.544,64.6
1,0,0.274,0.395,28.6
18,0,0.694,0.671,49.8
8,0,0.889,0.56,46.7
6,0,0.044,0.289,10.3
3,0,0.417,0.227,36.8
20,1,0.594,0.59,65.5
17,0,0.586,0.188,36.5
12,0,0.02,0.139,5.1
10,0,0.211,0.318,18.7
23,0,0.062,0.861,28.8
3,0,0.569,0.037,38.9
20,1,0.645,0.833,71.9
3,0,0.16,0.621,30.1
9,0,0.333,0.04,23.1
4,0,0.33,0.602,43.5
8,0,0.82,0.426,46.5
23,1,0.195,0.841,68.0
2,1,0.548,0.907,79.8
16,0,0.783,0.286,44.2
2,1,0.83,0.784,91.5
15,0,0.667,0.31,34.7
3,0,0.3,0.296,34.2
17,0,0.823,0.193,42.3
16,0,0.742,0.678,45.2
6,1,0.704,0.262,59.6
23,0,0.067,0.465,28.5
22,0,0.043,0.812,32.1
4,1,0.695,0.792,79.3
11,0,0.945,0.855,61.6
16,1,0.774,0.161,67.0
22,0,0.831,0.587,56.5
12,0,0.545,0.915,45.1
22,1,0.305,0.042,57.6
2,0,0.678,0.795,55.3
8,1,0.712,0.246,68.5
16,0,0.675,0.67,44.4
16,1,0.947,0.717,82.0
19,0,0.367,0.926,34.0
15,0,0.04,0.509,12.7
21,1,0.908,0.848,81.3
12,0,0.16,0.045,15.0
18,1,0.697,0.421,73.3
16,1,0.873,0.44,81.5
3,1,0.31,0.538,62.8
11,1,0.83,0.481,71.8
8,0,0.332,0.968,34.7
18,0,0.794,0.079,41.7
11,0,0.07,0.265,10.9
8,0,0.655,0.969,49.9
6,0,0.677,0.445,42.5
13,0,0.491,0.571,37.4
19,0,0.687,0.081,32.3
18,0,0.923,0.284,47.3
14,0,0.734,0.04,33.4
15,1,0.961,0.138,68.7
20,0,0.449,0.633,32.5
4,0,0.528,0.764,47.0
2,1,0.264,0.87,69.0
11,0,0.986,0.251,48.7
19,1,0.055,0.333,35.5
20,0,0.359,0.569,27.0
3,0,0.298,0.084,24.9
20,0,0.387,0.807,34.8
22,1,0.918,0.483,89.8
15,0,0.368,0.966,37.0
6,1,0.917,0.117,70.7
12,0,0.423,0.133,29.3
20,0,0.855,0.349,46.7
9,0,0.522,0.207,27.7
6,0,0.311,0.697,31.1
13,0,0.449,0.947,41.8
4,1,0.424,0.09,64.0
2,0,0.26,0.242,25.0
22,0,0.29,0.238,34.7
10,0,0.186,0.509,17.4
10,1,0.336,0.452,54.9
17,1,0.624,0.727,68.3
14,1,0.387,0.733,65.6
11,1,0.712,0.573,72.0
8,1,0.987,0.591,83.0
9,1,0.377,0.842,59.1
11,1,0.463,0.397,61.9
16,0,0.164,0.012,20.3
5,0,0.392,0.213,41.0
6,0,0.727,0.035,31.8
13,0,0.217,0.393,21.0
12,0,0.182,0.358,15.9
7,0,0.376,0.099,20.2
9,1,0.819,0.755,78.7
8,0,0.624,0.553,43.2
17,1,0.958,0.226,74.4
1,1,0.905,0.759,86.2
4,1,0.151,0.668,59.3
4,1,0.043,0.192,47.1
5,1,0.399,0.983,78.5
18,0,0.522,0.177,30.7
7,0,0.516,0.772,42.5
15,0,0.134,0.968,29.0
12,1,0.125,0.726,50.3
0,1,0.047,0.666,62.9
21,1,0.851,0.903,85.7
19,0,0.948,0.269,49.4
16,0,0.116,0.277,17.4
6,0,0.213,0.641,26.6
12,0,0.09,0.882,26.5
3,0,0.878,0.617,65.3
3,0,0.959,0.977,71.1
5,1,0.262,0.223,54.5
18,0,0.304,0.826,29.6
11,0,0.363,0.927,40.4
21,1,0.502,0.427,61.8
6,0,0.682,0.962,53.3
9,0,0.504,0.202,28.5
18,0,0.951,0.953,62.0
6,0,0.1,0.903,27.5
2,0,0.799,0.066,51.6
12,0,0.334,0.521,31.9
12,0,0.378,0.529,26.4
17,0,0.709,0.057,31.9
19,0,0.929,0.04,44.3
7,1,0.716,0.005,54.7
8,0,0.776,0.525,49.3
6,1,0.751,0.464,68.5
0,0,0.321,0.94,48.8
2,0,0.757,0.342,52.2
12,1,0.785,0.658,74.2
16,0,0.533,0.008,23.2
23,0,0.537,0.664,48.1
0,0,0.76,0.913,63.3
5,0,0.817,0.355,54.3
20,1,0.337,0.314,51.9
5,1,0.802,0.626,82.7
11,0,0.814,0.329,44.1
12,0,0.234,0.402,26.9
12,0,0.717,0.273,41.6
14,1,0.187,0.345,44.7
20,1,0.093,0.679,42.9
15,1,0.575,0.922,67.3
21,0,0.909,0.583,54.9
20,1,0.035,0.01,33.8
10,0,0.827,0.264,37.5
4,0,0.506,0.952,56.4
3,1,0.861,0.91,91.0
2,0,0.843,0.116,49.8
18,1,0.875,0.908,85.8
19,0,0.769,0.965,57.2
17,1,0.843,0.325,69.9
14,0,0.176,0.701,28.1
8,0,0.304,0.56,27.3
16,0,0.242,0.337,19.1
13,0,0.742,0.153,41.5
14,0,0.154,0.367,22.5
0,0,0.182,0.928,38.9
20,0,0.879,0.811,54.8
21,0,0.706,0.331,42.5
21,0,0.875,0.548,48.9
2,0,0.139,0.406,31.1
15,1,0.399,0.466,52.2
22,1,0.283,0.761,65.7
10,0,0.01,0.543,19.2
11,0,0.285,0.181,17.1
9,1,0.38,0.269,48.8
15,0,0.092,0.568,21.2
7,0,0.566,0.693,36.1
5,0,0.383,0.508,40.7
11,0,0.046,0.62,22.7
23,0,0.704,0.789,61.5
20,0,0.729,0.545,44.9
7,0,0.834,0.977,58.0
3,0,0.486,0.236,43.6
7,0,0.969,0.92,66.3
17,0,0.914,0.248,46.2
4,0,0.551,0.532,45.8
8,0,0.445,0.456,34.5
3,1,0.003,0.373,51.0
21,0,0.711,0.963,56.8
16,0,0.565,0.272,34.8
8,0,0.938,0.675,54.9
0,0,0.594,0.804,49.8
20,0,0.993,0.197,54.5
19,0,0.854,0.973,63.4
12,1,0.954,0.547,76.8
15,0,0.328,0.914,37.0
12,1,0.149,0.664,48.6
13,0,0.797,0.649,50.1
2,1,0.786,0.346,77.2
5,1,0.211,0.771,65.9
17,1,0.765,0.03,57.8
18,0,0.582,0.556,38.2
4,0,0.11,0.032,22.6
14,1,0.502,0.307,50.3
1,1,0.931,0.096,80.1
9,1,0.506,0.912,66.8
23,0,0.789,0.628,64.0
17,1,0.029,0.669,45.5
12,0,0.728,0.851,48.8
4,0,0.947,0.733,71.9
22,0,0.5,0.124,37.5
23,0,0.338,0.618,41.3
0,1,0.647,0.978,88.1
21,0,0.916,0.214,44.1
0,0,0.177,0.62,38.8
17,0,0.404,0.564,34.2
14,0,0.156,0.392,17.2
16,0,0.497,0.955,42.7
10,0,0.54,0.356,30.0
20,0,0.944,0.094,45.6
21,1,0.413,0.963,65.2
16,1,0.567,0.729,68.2
12,0,0.885,0.342,42.2
0,0,0.321,0.281,31.9
1,0,0.674,0.928,57.6
8,1,0.757,0.274,67.2
2,0,0.331,0.537,37.2
0,0,0.164,0.215,27.3
20,0,0.503,0.995,43.4
15,1,0.357,0.77,64.5
22,0,0.266,0.568,37.2
5,0,0.973,0.746,71.6
16,1,0.502,0.916,68.1
4,0,0.856,0.963,71.3
4,1,0.195,0.786,61.2
5,0,0.939,0.849,69.4
2,1,0.794,0.398,78.3
20,0,0.809,0.392,50.8
22,1,0.39,0.808,68.2
4,0,0.486,0.76,55.8
20,1,0.593,0.901,67.6
4,0,0.79,0.133,51.5
9,0,0.849,0.691,50.9
9,1,0.078,0.648,46.8
18,0,0.904,0.799,56.6
16,0,0.937,0.025,40.5
20,0,0.593,0.826,45.5
13,1,0.187,0.326,42.7
8,0,0.818,0.687,53.2
13,1,0.549,0.617,61.3
0,0,0.817,0.44,57.9
18,0,0.815,0.746,55.1
12,0,0.087,0.961,27.4
12,0,0.607,0.323,31.8
3,0,0.483,0.748,54.5
0,0,0.946,0.315,60.5
16,0,0.297,0.846,31.6
7,1,0.206,0.437,48.5
1,0,0.897,0.449,54.8
7,0,0.149,0.772,29.9
6,0,0.687,0.496,48.8
1,0,0.3,0.267,34.8
21,0,0.568,0.996,44.6
21,0,0.616,0.62,36.1
2,1,0.417,0.645,73.7
17,0,0.975,0.647,56.5
11,0,0.132,0.883,26.8
0,0,0.391,0.184,37.8
21,0,0.43,0.059,21.6
11,0,0.631,0.387,40.3
4,0,0.407,0.565,42.7
16,0,0.097,0.286,15.3
15,0,0.947,0.689,61.6
14,1,0.416,0.074,46.7
22,0,0.343,0.791,42.8
14,0,0.447,0.718,36.6
4,0,0.217,0.214,24.3
20,0,0.1,0.298,17.8
13,0,0.149,0.807,29.5
1,0,0.167,0.773,37.1
10,1,0.198,0.814,51.4
18,0,0.42,0.322,20.0
6,0,0.624,0.97,46.8
5,0,0.629,0.715,53.8
1,0,0.0,0.065,10.6
5,0,0.921,0.478,68.9
17,0,0.823,0.665,52.5
1,0,0.964,0.169,58.6
17,0,0.36,0.902,37.0
14,0,0.665,0.754,48.9
18,1,0.168,0.081,37.4
1,0,0.817,0.913,65.5
19,0,0.161,0.404,23.8
5,1,0.326,0.452,65.4
0,1,0.491,0.783,75.3
23,1,0.595,0.644,82.7
14,0,0.56,0.438,35.9
22,1,0.102,0.26,47.8
9,0,0.422,0.517,32.6
18,0,0.923,0.579,54.4
16,0,0.872,0.631,48.9
4,1,0.591,0.605,77.2
3,0,0.572,0.617,56.6
9,0,0.112,0.476,21.8
23,0,0.2,0.562,36.2
16,0,0.253,0.289,22.3
9,1,0.488,0.158,49.7
16,0,0.731,0.607,43.4
19,0,0.461,0.047,24.9
23,1,0.126,0.065,45.1
4,0,0.439,0.247,33.2
1,0,0.163,0.194,24.3
5,1,0.751,0.374,78.9
20,1,0.167,0.371,45.8
1,1,0.483,0.117,59.1
12,0,0.693,0.247,37.5
10,0,0.228,0.005,15.5
10,0,0.076,0.351,11.3
15,0,0.563,0.796,41.1
10,0,0.054,0.266,12.5
18,0,0.588,0.643,38.7
14,1,0.753,0.098,61.1
22,0,0.329,0.012,35.9
22,0,0.488,0.498,40.0
15,0,0.929,0.461,55.7
10,0,0.471,0.192,28.7
21,1,0.997,0.287,71.9
15,0,0.157,0.031,13.9
7,0,0.709,0.798,49.4
3,0,0.653,0.301,50.7
7,0,0.872,0.219,46.3
3,0,0.092,0.805,35.4
23,1,0.28,0.039,51.1
2,0,0.132,0.285,29.5
2,0,0.933,0.263,56.4
17,0,0.427,0.263,23.1
18,1,0.91,0.011,60.9
18,1,0.294,0.935,56.8
20,0,0.126,0.864,29.7
4,0,0.297,0.414,34.1
17,1,0.597,0.445,60.5
9,1,0.845,0.524,73.0
21,1,0.385,0.478,57.5
20,1,0.915,0.779,84.1
5,0,0.244,0.488,35.0
0,0,0.694,0.189,44.7
4,1,0.736,0.117,70.6
8,1,0.274,0.918,58.9
11,0,0.027,0.048,4.4
13,0,0.365,0.898,37.2
1,1,0.045,0.69,52.8
16,0,0.901,0.405,50.2
