traffic_density,weather_severity,time_of_day,road_condition_index,historical_incidents,risk_score
0.185,0.496,18,0.823,2,0.3041
0.97,0.87,19,0.901,2,0.7973
0.775,0.776,6,0.683,1,0.6427
0.939,0.084,21,0.858,1,0.3964
0.895,0.89,10,0.892,3,0.6868
0.598,0.472,17,0.092,2,0.6796
0.922,0.744,13,0.965,4,0.5736
0.088,0.14,15,0.334,3,0.3001
0.196,0.671,5,0.44,3,0.437
0.045,0.236,1,0.792,2,0.1454
0.325,0.438,22,0.665,2,0.3101
0.389,0.017,10,0.893,2,0.2164
0.271,0.152,10,0.401,0,0.1696
0.829,0.092,9,0.373,1,0.4451
0.357,0.24,3,0.032,1,0.3855
0.281,0.1,16,0.463,1,0.3627
0.543,0.692,9,0.724,2,0.5937
0.141,0.029,8,0.301,3,0.2481
0.802,0.618,12,0.463,2,0.6757
0.075,0.141,10,0.219,2,0.3268
0.987,0.945,9,0.773,3,0.7646
0.772,0.933,23,0.061,4,0.8547
0.199,0.226,4,0.705,0,0.2768
0.006,0.614,2,0.379,4,0.407
0.815,0.028,3,0.042,2,0.3542
0.707,0.932,2,0.853,1,0.6064
0.729,0.523,9,0.488,1,0.4984
0.771,0.043,23,0.599,3,0.5807
0.074,0.342,12,0.732,2,0.228
0.358,0.077,4,0.655,3,0.2423
0.116,0.393,12,0.731,3,0.3722
0.863,0.67,23,0.762,0,0.7728
0.623,0.47,0,0.589,3,0.4656
0.331,0.384,10,0.366,2,0.3617
0.064,0.119,2,0.243,0,0.1351
0.311,0.245,16,0.903,1,0.1961
0.325,0.1,18,0.97,0,0.2212
0.73,0.807,12,0.358,2,0.7059
0.638,0.135,15,0.112,4,0.4448
0.887,0.595,17,0.223,0,0.6466
0.472,0.343,22,0.671,4,0.4654
0.12,0.226,19,0.173,0,0.2831
0.713,0.639,22,0.78,0,0.5935
0.761,0.457,18,0.923,3,0.5062
0.561,0.4,5,0.964,4,0.4887
0.771,0.593,22,0.009,4,0.674
0.494,0.491,6,0.958,0,0.3441
0.523,0.303,14,0.74,2,0.3021
0.428,0.559,4,0.084,2,0.5466
0.025,0.669,15,0.415,4,0.4596
0.108,0.027,5,0.7,3,0.1562
0.031,0.466,2,0.957,3,0.2191
0.636,0.058,11,0.164,2,0.4766
0.314,0.186,3,0.128,3,0.4162
0.509,0.561,21,0.472,0,0.5346
0.908,0.866,2,0.968,0,0.5673
0.249,0.883,15,0.971,4,0.5402
0.41,0.07,15,0.228,1,0.36
0.756,0.419,22,0.319,2,0.5955
0.229,0.583,18,0.908,2,0.5223
0.077,0.147,14,0.735,1,0.1574
0.29,0.765,8,0.972,3,0.4517
0.161,0.744,19,0.893,0,0.3817
0.93,0.903,1,0.215,0,0.8071
0.808,0.008,5,0.76,2,0.3088
0.633,0.217,13,0.049,2,0.5497
0.871,0.827,8,0.818,3,0.6282
0.804,0.671,9,0.602,3,0.6389
0.187,0.894,17,0.956,2,0.5898
0.893,0.057,14,0.96,3,0.3383
0.539,0.597,3,0.051,1,0.4993
0.807,0.569,4,0.161,0,0.7053
0.896,0.036,22,0.484,2,0.5458
0.318,0.514,20,0.879,1,0.3012
0.11,0.61,5,0.814,1,0.2875
0.228,0.191,14,0.964,4,0.261
0.427,0.273,19,0.618,2,0.4364
0.818,0.64,1,0.257,4,0.6981
0.861,0.468,15,0.025,1,0.6649
0.007,0.858,4,0.223,2,0.4109
0.511,0.342,22,0.675,4,0.5643
0.417,0.267,3,0.926,0,0.2814
0.222,0.985,0,0.321,2,0.5307
0.12,0.911,7,0.876,4,0.6112
0.338,0.029,20,0.395,3,0.3317
0.943,0.771,9,0.308,2,0.7756
0.323,0.11,14,0.509,3,0.4465
0.519,0.027,1,0.442,2,0.2934
0.703,0.274,18,0.914,4,0.4456
0.364,0.269,11,0.468,4,0.4472
0.972,0.819,9,0.277,2,0.7701
0.962,0.711,11,0.843,1,0.6933
0.252,0.982,20,0.999,4,0.6233
0.497,0.712,19,0.648,2,0.6207
0.301,0.418,8,0.25,2,0.3797
0.285,0.699,7,0.239,0,0.5214
0.037,0.999,1,0.058,3,0.5071
0.61,0.71,20,0.077,0,0.6857
0.503,0.762,23,0.915,3,0.619
0.051,0.938,23,0.096,3,0.5214
0.279,0.114,6,0.484,0,0.2842
0.908,0.705,3,0.698,1,0.5917
0.24,0.851,18,0.85,2,0.4781
0.145,0.954,7,0.171,4,0.6067
0.489,0.211,23,0.438,2,0.3709
0.986,0.504,12,0.251,0,0.7175
0.242,0.681,20,0.256,1,0.565
0.672,0.247,2,0.304,4,0.5858
0.762,0.6,4,0.587,4,0.5885
0.238,0.258,19,0.017,1,0.3912
0.728,0.333,7,0.409,4,0.5817
0.368,0.442,1,0.187,4,0.5252
0.632,0.529,23,0.967,1,0.5601
0.634,0.449,9,0.583,0,0.5031
0.536,0.493,21,0.868,0,0.5317
0.09,0.299,15,0.196,4,0.4352
0.835,0.159,3,0.81,0,0.376
0.321,0.047,13,0.415,0,0.3358
0.187,0.196,2,0.178,4,0.2798
0.041,0.582,9,0.761,4,0.4103
0.591,0.786,12,0.762,0,0.4977
0.678,0.169,4,0.996,3,0.3558
0.017,0.109,21,0.781,1,0.2066
0.512,0.749,16,0.145,0,0.5551
0.226,0.305,16,0.323,0,0.3417
0.645,0.951,10,0.452,3,0.7205
0.174,0.714,18,0.127,2,0.5602
0.691,0.327,17,0.788,2,0.5046
0.387,0.29,16,0.527,1,0.3978
0.937,0.524,10,0.944,4,0.6071
0.138,0.079,14,0.589,0,0.1898
0.341,0.118,7,0.523,3,0.2886
0.113,0.176,11,0.071,4,0.3763
0.925,0.775,16,0.149,4,0.7642
0.877,0.514,23,0.85,2,0.5841
0.258,0.011,4,0.991,0,0.0994
0.66,0.674,3,0.415,1,0.4768
0.817,0.424,23,0.81,3,0.6138
0.555,0.511,23,0.628,0,0.4849
0.53,0.214,10,0.959,4,0.3562
0.242,0.552,7,0.238,4,0.4978
0.093,0.979,15,0.545,1,0.4646
0.897,0.073,15,0.409,2,0.4909
0.9,0.284,2,0.542,1,0.4414
0.633,0.243,11,0.269,1,0.4933
0.339,0.249,23,0.498,0,0.3961
0.349,0.379,12,0.625,2,0.3415
0.726,0.818,0,0.081,4,0.7176
0.897,0.913,3,0.743,2,0.62
0.887,0.202,20,0.707,0,0.4253
0.78,0.543,5,0.88,0,0.4712
0.642,0.637,4,0.426,1,0.579
0.084,0.522,4,0.062,0,0.3525
0.162,0.434,20,0.461,2,0.3859
0.899,0.192,9,0.138,1,0.5607
0.606,0.488,18,0.647,1,0.5225
0.009,0.401,17,0.047,1,0.3052
0.101,0.796,1,0.374,2,0.437
0.664,0.764,15,0.083,1,0.6713
0.005,0.134,14,0.003,3,0.2934
0.161,0.089,23,0.961,3,0.2149
0.549,0.908,4,0.996,2,0.5677
0.692,0.536,20,0.556,4,0.5624
0.652,0.858,21,0.239,4,0.8342
0.224,0.058,8,0.911,1,0.1524
0.712,0.527,22,0.923,2,0.5407
0.237,0.539,4,0.855,1,0.4052
0.325,0.861,4,0.544,1,0.5484
0.746,0.098,8,0.075,3,0.4644
0.65,0.24,8,0.088,0,0.4609
0.849,0.407,1,0.897,2,0.4294
0.658,0.866,6,0.876,0,0.5482
0.568,0.939,0,0.434,3,0.5939
0.094,0.993,19,0.328,0,0.5443
0.368,0.959,1,0.644,3,0.5807
0.265,0.006,11,0.807,4,0.225
0.244,0.048,5,0.732,3,0.181
0.973,0.148,19,0.616,2,0.6091
0.393,0.349,18,0.232,4,0.5017
0.892,0.83,15,0.263,1,0.709
0.631,0.893,3,0.724,2,0.5864
0.795,0.187,17,0.803,2,0.445
0.503,0.62,4,0.116,2,0.5873
0.577,0.917,21,0.187,0,0.713
0.493,0.464,17,0.68,0,0.4264
0.195,0.104,5,0.389,1,0.2392
0.722,0.458,13,0.563,0,0.6067
0.281,0.376,19,0.615,2,0.3528
0.024,0.578,16,0.776,3,0.3278
0.645,0.439,17,0.806,1,0.5326
0.177,0.017,20,0.28,1,0.2345
0.94,0.994,9,0.541,2,0.7517
0.954,0.544,22,0.124,4,0.8049
0.915,0.474,23,0.842,0,0.5328
0.37,0.955,18,0.845,4,0.674
0.015,0.156,17,0.3,2,0.2469
0.928,0.189,3,0.161,4,0.5355
0.428,0.808,19,0.07,2,0.7478
0.967,0.261,14,0.575,0,0.4927
0.964,0.799,5,0.091,0,0.6652
0.853,0.272,5,0.681,1,0.5612
0.294,0.033,2,0.678,4,0.2388
0.385,0.517,8,0.614,4,0.4511
0.851,0.197,10,0.877,4,0.4311
0.317,0.758,4,0.378,4,0.5647
0.169,0.641,13,0.902,3,0.4166
0.557,0.924,1,0.037,1,0.7559
0.936,0.783,21,0.113,1,0.7848
0.696,0.181,18,0.412,3,0.543
0.57,0.8,7,0.594,4,0.7687
0.097,0.642,12,0.032,3,0.5327
0.615,0.669,18,0.567,4,0.6512
0.99,0.832,4,0.307,3,0.7847
0.14,0.574,14,0.887,1,0.3547
0.518,0.466,3,0.533,3,0.4464
0.877,0.637,3,0.588,2,0.5356
0.741,0.298,17,0.946,4,0.5245
0.697,0.183,23,0.764,3,0.4504
0.702,0.617,18,0.438,4,0.6529
0.359,0.234,19,0.477,0,0.3804
0.294,0.08,21,0.648,4,0.3213
0.809,0.001,8,0.2,3,0.5233
0.81,0.608,14,0.089,4,0.6693
0.867,0.362,11,0.311,2,0.58
0.913,0.752,3,0.778,2,0.5733
0.511,0.375,2,0.257,3,0.4156
0.502,0.486,4,0.131,3,0.505
0.798,0.407,16,0.219,4,0.6732
0.65,0.651,4,0.679,1,0.5334
0.702,0.356,3,0.614,2,0.4978
0.796,0.964,20,0.688,2,0.6804
0.89,0.936,6,0.322,0,0.6962
0.338,0.848,6,0.901,0,0.4322
0.376,0.92,6,0.452,1,0.6526
0.094,0.449,16,0.514,2,0.2788
0.578,0.536,14,0.949,3,0.499
0.036,0.742,6,0.979,2,0.3334
0.466,0.696,14,0.662,3,0.4499
0.543,0.891,19,0.945,3,0.6683
0.287,0.716,3,0.542,1,0.3958
0.591,0.998,1,0.307,2,0.7369
0.031,0.349,21,0.315,4,0.3597
0.037,0.833,12,0.559,2,0.4349
0.823,0.698,11,0.605,2,0.6972
0.36,0.691,9,0.44,0,0.4381
0.127,0.326,18,0.884,1,0.2931
0.522,0.786,14,0.427,4,0.5646
0.77,0.9,16,0.273,4,0.8134
0.216,0.219,20,0.008,4,0.478
0.623,0.625,5,0.971,3,0.5446
0.085,0.392,4,0.824,1,0.2349
0.052,0.99,20,0.616,0,0.45
0.531,0.479,12,0.831,3,0.4328
0.541,0.228,13,0.81,4,0.3208
0.637,0.382,23,0.932,3,0.461
0.726,0.654,13,0.386,3,0.6488
0.976,0.076,14,0.555,4,0.5401
0.516,0.604,15,0.099,4,0.5823
0.323,0.931,9,0.965,0,0.509
0.795,0.85,0,0.985,1,0.5525
0.271,0.068,23,0.789,2,0.3165
0.439,0.993,10,0.454,2,0.7296
0.078,0.699,6,0.497,2,0.3773
0.025,0.162,16,0.435,0,0.2209
0.963,0.012,3,0.293,3,0.4272
0.836,0.171,6,0.528,4,0.4596
0.696,0.838,2,0.053,1,0.6504
0.409,0.022,23,0.992,2,0.2529
0.173,0.233,19,0.424,1,0.3146
0.156,0.757,13,0.927,1,0.4523
0.25,0.586,17,0.724,4,0.4208
0.549,0.783,17,0.29,0,0.6122
0.715,0.746,23,0.222,4,0.8017
0.66,0.051,23,0.996,0,0.3734
0.28,0.893,0,0.772,3,0.4251
0.955,0.227,5,0.25,1,0.5526
0.738,0.553,8,0.067,2,0.5921
0.554,0.644,1,0.697,1,0.4786
0.612,0.169,7,0.303,4,0.4532
0.42,0.976,23,0.221,0,0.6898
0.248,0.488,19,0.735,3,0.4494
0.356,0.058,3,0.679,3,0.2048
0.758,0.937,20,0.481,0,0.7333
0.014,0.586,9,0.943,0,0.2906
0.116,0.699,22,0.68,0,0.3981
0.046,0.525,0,0.893,3,0.2214
0.041,0.835,10,0.191,1,0.3932
0.855,0.033,8,0.297,1,0.4144
0.704,0.268,18,0.105,3,0.6333
0.474,0.47,10,0.305,2,0.4727
0.098,0.077,3,0.972,4,0.1616
0.492,0.706,22,0.963,3,0.5647
0.473,0.394,4,0.76,2,0.444
0.173,0.273,20,0.521,4,0.2785
0.434,0.003,16,0.781,1,0.2981
0.399,0.72,17,0.553,0,0.5103
0.616,0.834,4,0.004,4,0.769
0.635,0.395,17,0.502,0,0.5117
0.045,0.564,16,0.599,2,0.3503
0.375,0.228,2,0.266,3,0.4437
0.626,0.622,10,0.203,3,0.7136
0.503,0.012,16,0.274,0,0.39
0.856,0.489,7,0.624,4,0.6946
0.659,0.644,23,0.146,4,0.7174
0.163,0.918,7,0.72,2,0.4377
0.071,0.381,22,0.423,3,0.4288
0.642,0.765,22,0.353,0,0.6646
0.027,0.598,1,0.807,1,0.2988
0.586,0.927,6,0.506,3,0.631
0.94,0.398,20,0.378,3,0.7503
0.575,0.319,19,0.878,2,0.431
0.388,0.887,23,0.368,3,0.62
0.643,0.049,20,0.859,2,0.3634
0.458,0.136,5,0.504,2,0.3494
0.546,0.082,19,0.208,1,0.3655
0.941,0.843,17,0.613,4,0.8141
0.386,0.011,6,0.285,3,0.3187
0.961,0.862,17,0.147,2,0.775
0.905,0.451,11,0.087,2,0.6192
0.196,0.004,6,0.242,4,0.2862
0.069,0.402,6,0.737,4,0.3083
0.101,0.187,0,0.838,2,0.0705
0.018,0.624,9,0.862,3,0.3654
0.094,0.679,9,0.27,3,0.4836
0.683,0.488,11,0.661,3,0.5711
0.071,0.041,2,0.23,4,0.2649
0.319,0.656,2,0.623,3,0.4357
0.845,0.842,12,0.887,3,0.6779
0.023,0.72,12,0.041,3,0.6343
0.814,0.83,5,0.985,4,0.5987
0.282,0.201,2,0.827,0,0.1718
0.118,0.889,14,0.762,0,0.402
0.697,0.322,8,0.691,3,0.403
0.629,0.013,20,0.77,0,0.2913
0.877,0.843,5,0.995,3,0.6303
0.735,0.942,5,0.77,4,0.6457
0.803,0.656,7,0.352,3,0.7846
0.282,0.231,10,0.614,1,0.2808
0.177,0.252,18,0.337,2,0.3075
0.751,0.467,15,0.97,4,0.5795
0.807,0.898,8,0.9,1,0.5774
0.991,0.15,22,0.568,1,0.5175
0.413,0.826,10,0.781,2,0.4445
0.372,0.291,15,0.91,1,0.3432
0.776,0.809,5,0.244,2,0.7225
0.341,0.92,16,0.579,3,0.6417
0.931,0.427,15,0.482,4,0.686
0.858,0.365,19,0.772,4,0.5644
0.429,0.802,20,0.379,4,0.7039
0.751,0.529,17,0.709,2,0.6735
0.755,0.684,0,0.403,2,0.6148
0.103,0.623,17,0.111,1,0.4739
0.903,0.153,7,0.107,4,0.4964
0.505,0.845,21,0.119,1,0.7009
0.826,0.196,9,0.033,3,0.5118
0.32,0.932,1,0.533,1,0.5169
0.896,0.251,8,0.672,4,0.4723
0.389,0.734,23,0.127,2,0.5909
0.011,0.285,3,0.612,1,0.1887
0.905,0.318,10,0.598,1,0.5985
0.091,0.31,9,0.147,2,0.3094
0.319,0.748,13,0.404,2,0.4903
0.95,0.557,6,0.755,4,0.7363
0.951,0.883,18,0.017,3,0.8501
0.573,0.307,5,0.147,4,0.5003
0.632,0.692,15,0.996,1,0.5093
0.448,0.753,18,0.734,4,0.6189
0.293,0.151,18,0.464,4,0.3255
0.329,0.401,12,0.63,2,0.3729
0.673,0.483,11,0.846,3,0.5196
0.752,0.356,21,0.842,3,0.5227
0.792,0.322,14,0.325,4,0.5481
0.79,0.686,7,0.491,2,0.5674
0.091,0.216,3,0.638,2,0.2356
0.494,0.709,19,0.072,1,0.6164
0.058,0.935,7,0.946,0,0.4474
0.55,0.565,22,0.433,1,0.5544
0.442,0.611,20,0.371,1,0.5667
0.888,0.069,15,0.907,1,0.4186
0.351,0.864,15,0.118,0,0.6245
0.117,0.285,1,0.039,2,0.2837
0.143,0.615,21,0.685,2,0.4756
0.762,0.979,16,0.385,3,0.8286
0.618,0.596,22,0.764,3,0.5499
0.101,0.725,4,0.069,4,0.4975
0.084,0.445,4,0.384,4,0.3815
0.701,0.06,11,0.235,4,0.501
0.073,0.798,6,0.74,3,0.4047
0.822,0.035,4,0.227,3,0.4635
0.706,0.701,3,0.458,1,0.5376
0.081,0.023,16,0.819,2,0.1596
0.085,0.862,5,0.915,3,0.4136
0.987,0.158,13,0.723,0,0.554
0.374,0.514,8,0.429,1,0.4766
0.371,0.597,3,0.572,0,0.3914
0.813,0.458,10,0.69,0,0.4985
0.947,0.341,19,0.875,2,0.5165
0.986,0.468,20,0.889,0,0.5466
0.753,0.311,15,0.931,0,0.4114
0.376,0.438,15,0.811,0,0.3321
0.084,0.359,15,0.147,0,0.3619
0.777,0.566,5,0.748,1,0.5318
0.558,0.238,14,0.815,1,0.476
0.424,0.989,2,0.878,2,0.4262
0.906,0.501,8,0.925,2,0.5176
0.111,0.194,0,0.509,0,0.1377
0.493,0.477,10,0.655,4,0.3595
0.011,0.866,21,0.01,0,0.561
0.469,0.022,5,0.573,0,0.2246
0.056,0.68,23,0.473,2,0.5055
0.119,0.548,4,0.962,3,0.3495
0.118,0.17,17,0.902,2,0.1749
0.649,0.817,20,0.798,1,0.5939
0.746,0.369,11,0.057,2,0.6458
0.583,0.294,6,0.402,3,0.3579
0.962,0.828,1,0.696,0,0.6063
0.375,0.639,6,0.03,3,0.5665
0.286,0.898,8,0.236,2,0.5564
0.869,0.63,23,0.888,4,0.6577
0.224,0.741,19,0.13,1,0.6226
0.963,0.836,7,0.051,3,0.8645
0.012,0.055,8,0.581,2,0.0935
0.97,0.776,9,0.946,0,0.6514
0.043,0.614,11,0.835,2,0.3465
0.891,0.07,1,0.975,0,0.338
0.528,0.509,9,0.754,4,0.5523
0.993,0.082,2,0.437,1,0.4584
0.074,0.736,0,0.947,3,0.4348
0.554,0.547,16,0.427,2,0.6207
0.969,0.954,21,0.35,2,0.9247
0.523,0.183,0,0.448,3,0.3549
0.629,0.606,4,0.814,0,0.457
0.696,0.212,13,0.918,1,0.3653
0.455,0.614,5,0.358,4,0.5137
0.628,0.723,8,0.462,3,0.6686
0.584,0.722,21,0.898,1,0.5828
0.901,0.815,13,0.047,2,0.7642
0.045,0.854,3,0.784,1,0.3951
0.281,0.077,0,0.454,4,0.2065
0.95,0.343,5,0.377,1,0.4039
0.89,0.687,6,0.447,2,0.6695
0.456,0.499,20,0.419,4,0.6479
0.62,0.191,5,0.757,4,0.3586
0.277,0.553,23,0.928,4,0.452
0.188,0.407,0,0.491,2,0.2724
0.464,0.39,7,0.833,0,0.3278
0.353,0.81,11,0.732,2,0.4964
0.584,0.408,10,0.331,0,0.4578
0.078,0.026,1,0.587,0,0.0471
0.974,0.058,1,0.667,2,0.3949
0.986,0.856,23,0.023,1,0.8154
0.698,0.961,1,0.396,2,0.5736
0.536,0.688,7,0.993,4,0.5483
0.31,0.364,20,0.637,1,0.3912
0.814,0.939,23,0.334,3,0.8305
0.685,0.663,6,0.25,3,0.6547
0.163,0.844,15,0.209,3,0.5075
0.911,0.766,23,0.402,4,0.8756
0.823,0.379,21,0.193,4,0.6616
0.95,0.479,8,0.135,0,0.6681
0.726,0.186,15,0.364,4,0.4503
0.613,0.292,1,0.607,0,0.3321
0.418,0.778,2,0.146,3,0.6817
0.933,0.894,1,0.044,2,0.8178
0.866,0.724,21,0.035,2,0.7166
0.045,0.465,18,0.267,4,0.469
0.026,0.087,16,0.19,3,0.2544
0.376,0.057,19,0.539,3,0.2832
0.811,0.374,20,0.456,0,0.5076
0.987,0.464,11,0.325,0,0.6129
0.15,0.609,10,0.834,3,0.3908
0.594,0.006,19,0.505,4,0.3706
0.381,0.99,21,0.092,4,0.7561
0.97,0.364,18,0.296,3,0.6081
0.842,0.848,5,0.973,2,0.6081
0.838,0.535,9,0.977,2,0.5391
0.469,0.13,13,0.255,0,0.2708
0.415,0.798,0,0.167,3,0.5264
0.273,0.71,14,0.496,2,0.4723
0.056,0.527,5,0.481,4,0.4063
0.865,0.515,12,0.41,1,0.5398
0.813,0.087,23,0.529,1,0.4991
1.0,0.656,13,0.232,3,0.6997
0.997,0.911,12,0.115,0,0.7517
0.555,0.093,23,0.57,1,0.3577
0.769,0.264,15,0.933,4,0.4466
0.945,0.902,0,0.138,4,0.768
0.85,0.284,13,0.705,4,0.465
0.247,0.654,12,0.438,1,0.3776
0.451,0.535,22,0.294,2,0.5993
0.129,0.596,9,0.853,4,0.3869
0.954,0.416,9,0.456,0,0.6335
0.606,0.3,3,0.583,3,0.4198
0.229,0.049,13,0.443,3,0.3031
0.672,0.744,11,0.081,3,0.775
0.618,0.746,21,0.595,2,0.6631
0.358,0.671,5,0.419,3,0.4926
0.114,0.644,14,0.087,3,0.4874
0.672,0.244,4,0.596,1,0.4014
0.52,0.022,9,0.01,2,0.4143
0.772,0.809,8,0.209,2,0.7273
0.52,0.491,9,0.781,1,0.4098
0.852,0.307,23,0.038,0,0.5816
0.552,0.102,11,0.647,3,0.3838
0.561,0.063,21,0.95,0,0.279
0.877,0.349,3,0.171,1,0.4738
0.403,0.805,3,0.417,1,0.4866
0.134,0.919,12,0.575,1,0.4417
0.029,0.897,13,0.45,1,0.498
0.755,0.92,11,0.62,4,0.695
0.62,0.908,12,0.404,1,0.7728
0.704,0.527,19,0.149,0,0.6299
0.213,0.219,12,0.089,1,0.4274
0.136,0.798,22,0.744,0,0.5317
0.015,0.214,21,0.239,1,0.2838
0.351,0.267,1,0.847,1,0.3012
0.59,0.233,20,0.743,4,0.4653
0.392,0.515,18,0.049,1,0.5952
0.437,0.322,8,0.201,3,0.3869
0.904,0.154,9,0.292,4,0.5663
0.348,0.453,16,0.594,4,0.4893
0.514,0.874,9,0.81,3,0.6558
0.784,0.571,19,0.06,4,0.6792
0.397,0.878,12,0.25,1,0.5961
0.622,0.196,19,0.376,3,0.4998
0.862,0.167,0,0.183,1,0.481
0.95,0.576,1,0.545,4,0.7331
0.147,0.463,16,0.478,2,0.4059
0.927,0.66,12,0.316,3,0.7457
0.492,0.795,16,0.517,0,0.6109
0.258,0.751,12,0.356,4,0.577
0.459,0.942,16,0.343,2,0.6391
0.98,0.398,18,0.265,4,0.6605
0.493,0.206,13,0.54,1,0.4026
0.329,0.551,19,0.444,1,0.4658
0.633,0.111,9,0.196,1,0.3532
0.24,0.289,1,0.013,2,0.3152
0.076,0.208,13,0.151,1,0.3004
0.129,0.397,16,0.043,4,0.4962
0.128,0.111,4,0.432,4,0.301
0.152,0.032,21,0.225,4,0.3524
0.139,0.657,17,0.42,3,0.4202
0.641,0.61,2,0.329,4,0.5621
0.182,0.708,15,0.538,1,0.3591
0.346,0.66,18,0.724,3,0.5865
0.897,0.114,17,0.479,3,0.4162
0.474,0.291,19,0.062,3,0.5404
0.668,0.13,4,0.018,3,0.5119
0.172,0.843,7,0.213,2,0.5712
0.192,0.747,5,0.425,4,0.6037
0.041,0.202,14,0.045,2,0.2822
0.169,0.341,2,0.328,0,0.2561
0.279,0.967,8,0.887,2,0.4145
0.177,0.594,10,0.09,3,0.5062
0.089,0.801,19,0.949,4,0.4303
0.121,0.265,23,0.857,4,0.3645
0.461,0.21,22,0.832,1,0.3123
0.206,0.784,13,0.864,2,0.4677
0.364,0.686,22,0.08,4,0.7437
0.503,0.681,8,0.151,0,0.5115
0.69,0.553,9,0.134,0,0.6354
0.039,0.564,14,0.111,2,0.3509
0.799,0.736,17,0.328,1,0.71
0.628,0.27,20,0.83,0,0.4125
0.082,0.353,18,0.252,1,0.3389
0.874,0.872,6,0.244,2,0.7823
0.921,0.309,18,0.676,4,0.603
0.061,0.546,4,0.097,1,0.3994
0.277,0.703,20,0.36,0,0.4779
0.806,1.0,17,0.295,1,0.7697
0.748,0.435,0,0.847,4,0.5275
0.185,0.428,11,0.515,4,0.3555
0.209,0.843,5,0.646,0,0.4035
0.37,0.806,12,0.129,1,0.5216
0.485,0.731,16,0.929,1,0.4949
0.618,0.463,8,0.322,3,0.6451
0.369,0.324,20,0.707,0,0.3755
0.463,0.609,0,0.955,1,0.3166
0.747,0.876,11,0.509,2,0.7614
0.037,0.884,23,0.508,3,0.498
0.252,0.108,0,0.117,0,0.2915
0.713,0.428,3,0.39,4,0.5445
0.895,0.465,6,0.852,0,0.5024
0.512,0.978,19,0.135,2,0.8008
0.532,0.678,4,0.918,2,0.3909
0.107,0.407,22,0.667,4,0.3798
0.447,0.026,19,0.421,4,0.4317
0.533,0.565,4,0.546,4,0.5124
0.242,0.096,6,0.15,3,0.2894
0.269,0.834,16,0.217,2,0.59
0.377,0.753,11,0.286,4,0.5821
0.02,0.461,14,0.385,2,0.3378
0.322,0.429,2,0.916,3,0.3981
0.211,0.897,16,0.368,3,0.5796
0.327,0.288,13,0.524,2,0.4331
0.12,0.249,14,0.162,4,0.4406
0.891,0.939,14,0.736,0,0.7183
0.594,0.809,14,0.56,1,0.5774
0.679,0.821,18,0.44,2,0.7025
0.789,0.195,10,0.947,3,0.4189
0.498,0.143,17,0.891,4,0.3391
0.087,0.026,20,0.66,1,0.1954
0.537,0.237,9,0.922,2,0.3095
0.587,0.774,20,0.565,0,0.6883
0.745,0.24,8,0.827,0,0.3111
0.432,0.729,23,0.409,3,0.6639
0.128,0.252,2,0.087,3,0.3334
0.284,0.395,0,0.994,3,0.322
0.363,0.983,20,0.166,2,0.7438
0.646,0.245,10,0.252,0,0.4905
0.571,0.376,15,0.163,0,0.472
0.356,0.301,2,0.337,3,0.3058
0.987,0.11,20,0.289,3,0.7164
0.606,0.49,8,0.601,4,0.5113
0.237,0.379,10,0.996,0,0.1717
0.102,0.695,16,0.053,3,0.5586
0.153,0.818,0,0.778,3,0.4185
